ID,Perioden,TotaalLevendGeborenKinderen_1,AlgemeenVruchtbaarheidscijfer_3,JongerDan20Jaar_9,k_20Tot25Jaar_10,k_25Tot30Jaar_11,k_30Tot35Jaar_12,k_35Tot40Jaar_13,k_40Tot45Jaar_14,k_45JaarOfOuder_15,TotaalGeboorten_33
0,1950JJ00,229718,90.5,3562,32747,71176,60682,42024,17715,1812,231291
1,1951JJ00,228407,89.4,3790,34221,70178,60932,40559,16954,1773,229737
2,1952JJ00,231888,90.6,3889,35286,71488,62897,39550,16961,1817,233216
3,1953JJ00,227964,88.9,3780,34568,69989,63916,37456,16554,1701,229053
4,1954JJ00,228173,88.6,3663,35011,70835,64294,36521,16136,1713,229226
5,1955JJ00,229222,88.5,3954,35324,72096,63618,37169,15460,1601,230172
6,1956JJ00,231492,89.0,4094,36220,73978,63228,37479,14981,1512,232414
7,1957JJ00,233892,89.4,4384,37493,76711,62091,37334,14372,1507,234922
8,1958JJ00,236859,89.7,4618,39381,78094,61922,38009,13360,1475,237837
9,1959JJ00,242518,90.9,5141,41349,80225,62692,38224,13348,1539,243337
10,1960JJ00,239128,89.0,5432,42461,78834,61121,36660,13271,1349,239741
11,1961JJ00,247407,90.1,6222,45808,80921,63353,36379,13370,1354,248094
12,1962JJ00,246150,88.0,6912,48494,80494,61737,34316,12995,1202,246670
13,1963JJ00,249879,87.9,7694,51664,82045,61133,33453,12728,1162,250439
14,1964JJ00,250914,87.2,8334,54524,83075,59516,32415,11947,1103,251354
15,1965JJ00,245216,84.1,9743,56023,82650,55126,29915,10727,1032,245653
16,1966JJ00,239611,81.1,9304,60495,81165,51223,26947,9482,995,240073
17,1967JJ00,238678,79.8,9043,66308,80851,48162,24913,8534,867,238960
18,1968JJ00,237112,78.2,8732,69148,81917,46345,22838,7359,773,237273
19,1969JJ00,247588,80.6,9196,73971,86818,47700,22199,6974,730,247702
20,1970JJ00,238912,77.0,9239,73386,83294,45763,20249,6360,621,239099
21,1971JJ00,227180,72.3,9229,67100,86584,41301,17096,5369,501,227165
22,1972JJ00,214133,67.2,8285,61886,88469,36936,14017,4228,312,213868
23,1973JJ00,194993,60.5,7233,54890,85068,32618,11641,3269,274,194721
24,1974JJ00,185982,56.9,6383,51833,83903,31211,9773,2663,216,185777
25,1975JJ00,177876,53.6,5384,47863,83429,29948,8885,2160,207,177476
26,1976JJ00,177090,52.5,4861,46846,81024,33953,8237,1990,179,176636
27,1977JJ00,173296,50.6,4375,43524,78639,36809,7994,1784,171,172755
28,1978JJ00,175550,50.5,4256,42629,79314,39436,8146,1599,170,175006
29,1979JJ00,174979,49.5,4088,41100,78939,40590,8565,1546,151,174345
30,1980JJ00,181294,50.5,4203,41403,80940,43955,8916,1700,177,180517
31,1981JJ00,178569,49.1,4202,38953,79856,43582,10109,1668,199,177692
32,1982JJ00,172071,46.7,3740,36487,76327,42637,10988,1710,182,171156
33,1983JJ00,170246,45.7,3469,35168,74591,43764,11463,1596,195,169373
34,1984JJ00,174436,46.2,3237,34639,76396,46020,12251,1724,169,173410
35,1985JJ00,178136,46.6,2988,32813,77024,50091,13274,1725,221,177067
36,1986JJ00,184513,47.7,3044,31149,79071,54472,14454,2096,227,183312
37,1987JJ00,186667,47.8,3057,28870,78446,58096,15705,2272,221,185341
38,1988JJ00,186647,47.4,3171,27323,76407,60527,16613,2392,214,185239
39,1989JJ00,188979,47.8,3171,26228,75033,63395,18301,2618,233,187439
40,1990JJ00,197965,49.9,3258,25988,76315,68923,20438,2778,265,196171
41,1991JJ00,198665,49.8,3072,25007,73994,70969,22329,3045,249,196698
42,1992JJ00,196734,49.1,2692,23442,70031,73197,23854,3273,245,194833
43,1993JJ00,195748,48.7,2461,21776,67439,75094,25280,3474,224,193816
44,1994JJ00,195611,48.6,2288,20548,65633,76774,26532,3621,215,193627
45,1995JJ00,190513,47.3,1904,18366,62700,76235,27502,3644,162,188186
46,1996JJ00,189521,47.4,1857,16760,61129,77057,28740,3796,182,187033
47,1997JJ00,192443,48.5,1979,16556,60515,78845,30256,4125,167,190029
48,1998JJ00,199408,50.4,2038,16330,61191,82702,32531,4451,165,196682
49,1999JJ00,200445,50.8,2323,16246,58920,83718,34243,4808,187,197633
50,2000JJ00,206619,52.4,2503,17456,57358,87117,36750,5249,186,203890
51,2001JJ00,202603,51.3,2686,17471,53838,85616,37345,5451,196,199860
52,2002JJ00,202083,51.2,2649,17667,51907,86077,37859,5701,223,199205
53,2003JJ00,200297,50.8,2484,17560,51155,83595,39429,5836,238,197472
54,2004JJ00,194007,49.3,2182,17383,49344,79001,39655,6225,217,191158
55,2005JJ00,187910,48.0,2010,16693,48852,73845,39967,6308,235,185151
56,2006JJ00,185057,47.5,1859,16344,49342,70987,39951,6328,246,182448
57,2007JJ00,181336,46.8,1858,16384,48863,67787,39668,6522,254,178850
58,2008JJ00,184634,47.8,1905,16336,50710,69132,39455,6817,279,181997
59,2009JJ00,184915,48.0,1953,16499,51459,68828,38637,7252,287,182186
60,2010JJ00,184397,48.0,1884,16417,51570,69420,37213,7565,328,181837
61,2011JJ00,180060,47.1,1717,15782,50295,69174,35340,7393,359,177648
62,2012JJ00,175959,46.3,1592,15206,50371,67489,33725,7212,364,173429
63,2013JJ00,171341,45.3,1360,14581,49342,65925,32939,6836,358,168883
64,2014JJ00,175181,46.5,1276,14213,50307,68120,33797,7046,422,172818
65,2015JJ00,170510,45.4,1109,13125,48724,66373,34070,6733,376,168184
66,2016JJ00,172520,46.0,1076,12580,48557,67760,35205,6922,420,170323
67,2017JJ00,169836,45.2,1023,11722,47197,67575,34905,6941,473,167595
68,2018JJ00,168525,44.8,950,11223,45974,68110,34715,7089,464,166331
69,2019JJ00,169680,45.1,915,10685,45300,69205,35732,7356,487,167588
70,2020JJ00,168681,44.8,876,10015,43666,70258,35868,7571,427,166466
71,2021JJ00,179441,47.7,715,9899,45289,75904,39153,8007,474,177248